country,Literacy rate 2021,Global rank,continent,Superficie,nb_diplomes,nb_habitants,education_spending_2021,GDP
India,,,asia,3287263.0,,1417173173.0,4.64,3150306839142.13
China,,,asia,9596960.0,,1412175000.0,3.3,17820459508852.2
United States,,,north-america,9369417.0,2715337.0,333287557.0,,23315080560000.0
Indonesia,,,asia,1904569.0,,275501339.0,3.05,1186505455736.54
Pakistan,,,asia,882363.0,,235824862.0,1.69,348516647445.148
Nigeria,,,africa,923768.0,,218541212.0,,440838992188.478
Brazil,,,south-america,8510346.0,,215313498.0,,1649622821885.14
Bangladesh,,,asia,148460.0,,171186372.0,1.83,416264800549.026
Russia,99.93,3.0,europe,17098246.0,,144236933.0,,1836892075547.52
Ethiopia,,,africa,1104300.0,,123379924.0,4.07,111261882958.426
Mexico,,,north-america,1964375.0,498441.0,127504125.0,,1312557512901.28
Japan,,,asia,377915.0,678244.0,125124989.0,3.32,5034620784584.98
Philippines,,,asia,300000.0,,115559009.0,3.88,394087359844.049
Egypt,,,africa,1001450.0,,110990103.0,,424671765455.704
DR Congo,,,africa,2344858.0,,99010212.0,2.66,55328482783.5393
Vietnam,,,asia,331340.0,,98186856.0,2.95,366137569122.215
Iran,,,asia,1648195.0,,88550570.0,,359096907772.985
Turkey,,,asia,783562.0,374943.0,84979913.0,2.85,819865253669.661
Germany,,,europe,357581.0,489703.0,83797985.0,4.53,4278503934689.85
Thailand,94.1,27.0,asia,513120.0,,71697030.0,2.99,505568063988.806
Tanzania,,,africa,947303.0,,65497748.0,3.12,70655628147.8986
United Kingdom,,,europe,243610.0,652174.0,66971395.0,5.33,3141506156618.7
France,,,europe,643801.0,411482.0,67971311.0,5.25,2959355819170.5
South Africa,90.0,32.0,africa,1219090.0,,59893885.0,6.56,420117812463.841
Italy,,,europe,302068.0,372383.0,58940425.0,4.13,2155360298998.03
Kenya,,,africa,580367.0,,54027487.0,4.59,109703658904.994
Myanmar,,,asia,676578.0,,54179306.0,,66262813093.4824
Colombia,,,south-america,1138910.0,,51874024.0,,318511813576.97
South Korea,,,asia,100432.0,420673.0,51628117.0,,1818432106880.04
Uganda,,,africa,241550.0,,47249585.0,2.64,40510241365.8914
Sudan,,,africa,1861484.0,,46874204.0,,34229513773.9708
Spain,,,europe,505370.0,284626.0,47778340.0,4.59,1445651653604.63
Iraq,,,asia,438317.0,,44496122.0,,207691599310.345
Algeria,,,africa,2381741.0,,44903225.0,6.3,163472387986.768
Argentina,,,south-america,2780400.0,,46234830.0,4.65,487902572164.348
Afghanistan,37.27,39.0,asia,652864.0,,41128771.0,,14266499429.8746
Poland,99.8,7.0,europe,312685.0,634977.0,36821749.0,4.94,681346136411.701
Canada,,,north-america,9984670.0,232349.0,38929902.0,4.59,2007472181464.15
Morocco,,,africa,446550.0,,37457971.0,5.6,141817797083.468
Ukraine,100.0,1.0,europe,603550.0,,38000000.0,5.74,199765859570.935
Angola,,,africa,1246700.0,,35588987.0,2.3,66505129989.243
Saudi Arabia,,,asia,2149690.0,,36408820.0,,874156115900.131
Uzbekistan,100.0,2.0,asia,447400.0,,35648100.0,5.37,69600614987.3509
Yemen,,,asia,527968.0,,33696614.0,,21606160777.1719
Mozambique,,,africa,799380.0,,32969518.0,7.03,16168056388.9101
Ghana,,,africa,238537.0,,33475870.0,3.42,79524421861.2743
Peru,,,south-america,1285216.0,,34049588.0,3.97,223717799056.526
Malaysia,,,asia,329847.0,,33938221.0,4.27,373832428055.449
Nepal,71.15,36.0,asia,147181.0,,30547580.0,3.96,36924841428.7182
Madagascar,,,africa,587041.0,,29611714.0,3.2,14554754116.5427
Ivory Coast,,,africa,322462.0,,28160542.0,3.37,71811075955.078
Venezuela,,,south-america,912050.0,,28301696.0,,482359318767.703
Cameroon,,,africa,475650.0,,27914536.0,2.83,44993521774.066
Niger,,,africa,1267000.0,,26207977.0,3.82,14915002435.9913
Australia,,,oceania,7741220.0,271050.0,26005540.0,5.56,1559033756285.13
North Korea,,,asia,120538.0,,,,
Syria,,,asia,185180.0,,22125249.0,,8969512933.38826
Mali,,,africa,1240192.0,,22593590.0,4.36,19309463508.0377
Taiwan,,,asia,35980.0,,,,
Burkina Faso,,,africa,274200.0,,22673762.0,5.22,19642668879.7694
Sri Lanka,92.43,28.0,asia,65610.0,,22181000.0,1.51,88548049121.4972
Malawi,,,africa,118484.0,,20405317.0,,12602334121.6286
Zambia,,,africa,752612.0,,20017675.0,3.11,22096416933.7902
Kazakhstan,,,asia,2724910.0,,19621972.0,4.39,197112255360.612
Chile,,,south-america,756102.0,,19603733.0,,316581155648.871
Romania,98.9,15.0,europe,238398.0,,19047009.0,3.25,285810244501.933
Chad,,,africa,1284000.0,,17723315.0,2.89,11779981332.8631
Somalia,,,africa,637657.0,,17597511.0,,9838711529.45863
Ecuador,94.48,26.0,south-america,283561.0,,18001000.0,3.69,106165866000.0
Guatemala,,,north-america,108889.0,,17357886.0,3.11,86053083476.0294
Senegal,,,africa,196712.0,,17316449.0,5.59,27569136729.9023
Netherlands,,,europe,41865.0,150893.0,17700982.0,5.14,1029678338329.44
Cambodia,,,asia,181035.0,,16767842.0,1.67,26961061151.7337
Zimbabwe,,,africa,390757.0,,16320537.0,,28371238665.8646
Guinea,45.33,38.0,africa,28051.0,,13859341.0,2.04,16091817842.1318
Rwanda,75.9,35.0,africa,26338.0,,13776698.0,5.59,11054517345.7109
Benin,,,africa,114763.0,,13352864.0,3.19,17687623534.6665
Burundi,,,africa,27834.0,,12889576.0,4.87,2775798697.47186
Bolivia,,,south-america,1098581.0,,12224110.0,,40406111695.179
Tunisia,,,africa,163610.0,,12356117.0,,46687293140.3377
Haiti,,,north-america,27750.0,,11584996.0,1.84,20877414952.6375
Belgium,,,europe,30528.0,63414.0,11685814.0,6.23,600748812601.541
Dominican Republic,,,north-america,48670.0,,11228821.0,3.75,94243425938.3647
Jordan,98.42,17.0,asia,89318.0,,11285869.0,3.22,46296100140.8451
South Sudan,,,africa,644329.0,,10913164.0,,11997800760.2242
Cuba,,,north-america,109884.0,,11212191.0,,107351800000.0
Honduras,,,north-america,112492.0,,10432860.0,5.81,28488721680.8502
Sweden,,,europe,447425.0,60409.0,10486941.0,6.68,639714956069.468
Papua New Guinea,,,oceania,462840.0,,10142619.0,,26113333244.5115
Czech Republic,,,europe,78871.0,,10672118.0,5.05,281791218507.1
Azerbaijan,,,asia,86600.0,,10141756.0,3.7,54825411764.7059
Tajikistan,,,asia,144100.0,,9952787.0,5.54,8937805347.13963
Greece,,,europe,131957.0,46149.0,10426919.0,4.06,214667807441.202
Portugal,96.78,23.0,europe,92225.0,94209.0,10409704.0,4.71,255534839405.899
Hungary,99.1,12.0,europe,93025.0,58754.0,9643048.0,5.0,182090041757.269
United Arab Emirates,98.13,18.0,asia,78157.0,,9441129.0,3.9,415178792769.884
Belarus,,,europe,207600.0,,9228071.0,4.61,69673747131.87
Israel,,,asia,21937.0,,9557500.0,7.42,488526545878.891
Togo,,,africa,56785.0,,8848699.0,4.23,8443112143.23844
Sierra Leone,,,africa,72300.0,,8605718.0,9.44,4249234704.01866
Austria,,,europe,83878.0,53945.0,9041851.0,4.99,479295362747.047
Switzerland,,,europe,41291.0,52468.0,8775760.0,5.04,813408787222.499
Laos,,,asia,236800.0,,7529475.0,1.86,18827148528.9934
Hong Kong,,,asia,1114.0,,7346100.0,4.0,368911387845.418
Nicaragua,,,north-america,130373.0,,6948392.0,4.09,14145880399.1935
Serbia,,,europe,88499.0,,6664449.0,3.3,63101069561.2193
Libya,,,africa,1759540.0,,6812341.0,,39798423941.0335
Paraguay,,,south-america,406752.0,,6780744.0,3.41,39950899938.7482
Kyrgyzstan,,,asia,199949.0,,,6.53,
Bulgaria,98.42,16.0,europe,110879.0,,6465097.0,4.49,84041493015.6618
Turkmenistan,,,asia,488100.0,,6430770.0,,50007428571.4286
El Salvador,,,north-america,21041.0,,6336392.0,3.53,29451240000.0
Republic of the Congo,80.61,34.0,africa,342000.0,,5970424.0,3.67,14825708810.7046
Singapore,,,asia,733.0,,5637022.0,2.83,423797100521.555
Denmark,,,europe,42947.0,50332.0,5903037.0,6.04,405687998852.691
Central African Republic,,,africa,622984.0,,5579144.0,1.87,2516498412.46384
Slovakia,,,europe,49035.0,71551.0,5431752.0,4.4,118576482542.583
Finland,,,europe,338145.0,53271.0,5556106.0,5.69,296470417085.267
Liberia,,,africa,111369.0,,5302681.0,2.53,3509000000.0
Norway,,,europe,386224.0,40107.0,5457127.0,5.04,503367986030.268
Palestine,,,asia,,,,5.43,
New Zealand,,,oceania,268838.0,50116.0,5124100.0,5.54,255551704625.831
Costa Rica,98.04,19.0,north-america,51100.0,,5180829.0,6.28,64960725734.2362
Lebanon,,,asia,10452.0,,5489739.0,,23131941556.7843
Ireland,,,europe,,45015.0,5127170.0,2.98,513391778882.86
Mauritania,66.96,37.0,africa,1030700.0,,4736139.0,1.75,9222536364.01272
Oman,,,asia,309500.0,,4576298.0,,88191977373.212
Panama,,,north-america,75320.0,,4408581.0,3.27,67406738100.0
Kuwait,,,asia,17818.0,,4268873.0,,137384258875.558
Croatia,99.45,9.0,europe,56594.0,,3855600.0,5.2,69081236641.2469
Eritrea,,,africa,117600.0,,3684032.0,,2065001626.01626
Georgia,,,asia,,,3712502.0,3.64,18629365612.096
Mongolia,,,asia,1564116.0,,3398366.0,3.34,15286441737.6686
Uruguay,,,south-america,176215.0,,3422794.0,4.41,61412268248.9461
Moldova,99.6,8.0,europe,33847.0,,2538894.0,5.82,13692230147.0588
Puerto Rico,92.4,29.0,north-america,9104.0,,3221789.0,,106368900000.0
Bosnia and Herzegovina,,,europe,51209.0,,3233526.0,,23649568276.8447
Gambia,,,africa,,,2705992.0,2.94,2038414968.60683
Albania,,,europe,28748.0,,2777689.0,3.09,17930565118.8176
Jamaica,,,north-america,10991.0,,2827377.0,5.63,14657586127.0331
Armenia,,,asia,29743.0,,2780469.0,2.77,13878908628.9378
Qatar,,,asia,11586.0,,2695122.0,,179732009554.846
Botswana,,,africa,582000.0,,2630296.0,,18737066311.1597
Lithuania,99.83,6.0,europe,65286.0,,2831639.0,4.84,66798933785.7702
Namibia,92.25,30.0,africa,824292.0,,2567012.0,10.03,12446290854.8973
Gabon,,,africa,267668.0,,2388992.0,2.7,20217946922.4528
Lesotho,,,africa,30355.0,,2305825.0,7.51,2348771013.21241
Slovenia,,,europe,20273.0,,2111986.0,5.67,61832201543.8285
North Macedonia,,,europe,25713.0,,2057679.0,,13998355971.3044
Latvia,99.89,4.0,europe,64594.0,,1879383.0,5.7,39443126174.4335
Bahrain,,,asia,778.0,,1472233.0,2.22,39288670212.766
Estonia,99.87,5.0,europe,45339.0,,1348840.0,5.91,37191166151.98
Mauritius,92.15,31.0,africa,2040.0,,1262523.0,4.67,11484357947.9086
Cyprus,99.36,11.0,asia,9251.0,,1251488.0,5.62,29482917678.8954
Eswatini,,,,17363.0,,1201670.0,5.29,4850842571.59151
Djibouti,,,africa,23200.0,,1120849.0,,3385825228.86997
Fiji,,,oceania,18272.0,,929766.0,5.97,4305031630.81808
Comoros,,,africa,1861.0,,836774.0,2.27,1296089479.45831
Guyana,,,south-america,214969.0,,808726.0,,8041362110.31175
Bhutan,,,asia,38394.0,,782455.0,6.97,2768003872.54065
Solomon Islands,,,oceania,28896.0,,724273.0,,1580303515.40945
Macau,,,,33.0,,695168.0,5.25,30969334705.0515
Luxembourg,,,europe,2586.0,854.0,653103.0,4.64,85584105993.8746
Suriname,95.0,24.0,south-america,163820.0,,618040.0,3.81,3081401725.88833
Montenegro,98.98,14.0,europe,13812.0,,617213.0,,5861427505.12493
Cape Verde,,,africa,4033.0,,593149.0,6.04,1997866378.77119
Malta,94.94,25.0,europe,315.0,,531113.0,5.63,18087205251.3605
Maldives,97.86,20.0,asia,300.0,,523787.0,4.48,5254366310.44801
Brunei,97.59,21.0,asia,5765.0,,449002.0,,14006496617.4458
Belize,,,north-america,22965.0,,405272.0,5.86,2424575179.3783
Bahamas,,,north-america,,,409984.0,3.57,11527600000.0
Iceland,,,europe,103000.0,4005.0,382003.0,7.73,25595940169.5879
Vanuatu,89.1,33.0,oceania,12189.0,,326740.0,,971636097.850666
New Caledonia,,,,18575.0,,269220.0,,10071349663.8484
Barbados,,,north-america,431.0,,281635.0,4.98,4923100000.0
Sao Tome and Principe,,,,,,227380.0,5.52,524402450.755612
Samoa,99.1,13.0,oceania,2842.0,,222382.0,,843923638.733018
Saint Lucia,,,,616.0,,179857.0,,1961111111.11111
Kiribati,,,oceania,811.0,,131232.0,15.59,227610079.145208
Grenada,,,north-america,345.0,,125438.0,4.09,1122800000.0
Micronesia,,,oceania,,,114164.0,,406000000.0
Tonga,99.4,10.0,oceania,747.0,,106858.0,4.93,469228219.665791
Seychelles,,,africa,457.0,,119878.0,5.62,1286687308.25807
Saint Vincent and the Grenadines,,,,389.0,,103948.0,,872222222.222222
Antigua and Barbuda,,,,442.0,,93763.0,3.88,1601366666.66667
Andorra,,,europe,468.0,,79824.0,2.58,3325143693.28714
Dominica,,,north-america,750.0,,72737.0,5.47,555266666.666667
Cayman Islands,,,,264.0,,68706.0,,6028373513.49405
Bermuda,,,north-america,54.0,,63532.0,1.88,7127200000.0
Greenland,,,,2166086.0,,56661.0,,3235809504.29871
Northern Mariana Islands,,,,457.0,,49551.0,,858000000.0
Saint Kitts and Nevis,,,,261.0,,47657.0,,858592592.592592
Turks and Caicos Islands,,,,948.0,,45703.0,,1044778790.0
Marshall Islands,,,oceania,181.0,,41569.0,,257784881.591797
Liechtenstein,,,europe,160.0,,39327.0,,7710380085.92257
British Virgin Islands,,,,151.0,,31305.0,,
Cook Islands,,,,236.0,,,,
